@relation arff
@attribute nbrOfLines real
@attribute avgLength real
@attribute perpendicular real
@attribute parallell real
@attribute isdoor {yes, no}
@data
5,1.28007,4,2,no
5,1.227,2,0,no
3,1.47523,2,0,no
4,0.826022,0,4,no
4,0.952894,4,2,no
5,1.13762,2,2,no
4,0.987036,2,2,no
4,0.989501,0,2,no
4,0.87436,0,2,no
5,0.914777,2,2,no
4,0.870434,4,2,no
3,1.5336,0,0,no
5,1.21057,2,2,no
5,1.2582,4,0,no
5,1.29149,2,0,no
6,1.1237,6,2,no
7,0.964008,4,0,no
6,1.17089,4,2,no
6,1.13978,4,2,no
5,1.09946,8,4,no
7,0.804647,4,2,no
6,0.870181,7,4,no
7,0.824112,6,4,no
7,0.736824,6,6,no
7,0.707714,4,2,no
6,0.84953,4,2,no
7,0.726789,6,4,no
7,0.705214,5,2,no
7,0.722767,5,6,no
7,0.81467,0,4,no
7,0.805422,5,4,no
7,0.805661,6,4,no
5,0.766297,6,2,no
8,0.353601,8,3,no
5,0.50792,6,2,no
5,0.465982,8,4,no
5,0.482158,4,2,no
3,0.704203,4,2,no
3,0.611101,0,2,no
3,0.629891,0,2,no
2,0.70257,0,0,no
3,0.551535,0,2,no
4,0.497616,0,2,no
6,0.4422,4,2,no
3,0.554981,4,2,no
4,0.45418,2,0,no
4,0.423073,2,2,no
1,1.15988,0,0,no
1,1.1196,0,0,no
1,1.15427,0,0,no
1,1.08905,0,0,no
1,1.0982,0,0,no
3,0.498773,0,0,no
1,1.11287,0,0,no
6,0.452916,4,2,no
1,1.10867,0,0,no
1,1.1153,0,0,no
1,1.08176,0,0,no
1,1.0881,0,0,no
1,1.06226,0,0,no
1,1.08328,0,0,no
1,1.10442,0,0,no
1,1.10721,0,0,no
1,1.06709,0,0,no
1,1.08654,0,0,no
6,0.424049,2,2,no
1,1.07448,0,0,no
1,1.05957,0,0,no
1,1.11399,0,0,no
1,1.0957,0,0,no
1,1.10181,0,0,no
2,0.679032,2,0,no
1,1.18028,0,0,no
1,1.12371,0,0,no
2,0.656865,2,0,no
2,0.710125,0,0,no
5,0.509731,0,2,no
3,0.552011,0,2,no
5,0.397746,0,3,no
5,0.423392,2,3,no
3,0.602787,0,2,no
3,0.673944,4,2,no
4,0.522255,0,2,no
3,0.628771,0,2,no
5,0.448346,6,2,no
5,0.452212,4,2,no
5,0.452428,4,4,no
6,0.439052,0,4,no
6,0.445711,4,2,no
6,0.443681,2,2,no
6,0.429963,4,2,no
5,0.523463,4,2,no
6,0.47817,6,4,no
5,0.55783,0,2,no
7,0.451262,7,2,no
6,0.496118,0,2,no
6,0.512832,4,2,no
8,0.409489,11,5,no
5,0.50799,0,2,no
5,0.577843,4,2,no
6,0.539936,4,2,no
5,0.640293,4,2,no
4,0.786087,4,2,no
4,0.853635,4,2,no
5,0.721934,4,2,no
4,0.903423,4,2,no
3,1.23281,2,0,no
3,1.28159,4,2,no
5,0.78839,3,2,no
7,0.388483,5,2,no
4,0.949439,2,2,no
5,0.738541,4,2,no
4,0.864458,0,2,no
4,0.866355,4,2,no
4,0.822888,0,0,no
4,0.812673,2,0,no
3,1.49645,0,0,no
4,1.28725,0,2,no
4,1.70253,0,2,no
4,1.66183,0,2,no
6,0.43315,2,2,no
4,1.6453,0,2,no
4,1.16732,0,2,no
5,1.38243,0,3,no
4,1.72776,0,2,no
4,1.23238,0,2,no
3,1.52852,0,0,no
4,0.811635,0,0,no
5,0.685082,4,0,no
5,0.718713,4,2,no
4,0.916088,2,2,no
7,0.386818,5,4,no
8,0.732224,6,5,no
11,0.598385,12,10,no
13,0.57337,18,11,no
12,0.662129,6,14,no
11,0.583702,16,15,no
11,0.521408,12,8,no
10,0.641007,12,8,no
11,0.634253,12,8,no
8,0.697853,6,7,no
11,0.688775,10,13,no
11,0.615773,12,8,no
10,0.64697,6,7,no
9,0.705793,6,7,no
11,0.666332,12,8,no
12,0.561998,14,14,no
12,0.548398,10,9,no
10,0.647591,16,7,no
14,0.564967,2,11,no
10,0.647531,10,7,no
12,0.569041,14,9,no
13,0.544215,16,8,no
11,0.680071,16,7,no
10,0.634695,12,12,no
11,0.706145,12,7,no
13,0.648181,12,13,no
13,0.584247,16,8,no
9,0.659218,4,4,no
12,0.509762,12,8,no
8,0.700612,8,4,no
9,0.619566,6,5,no
10,0.776258,8,3,no
9,0.84136,2,3,no
8,0.783287,4,4,no
12,0.557762,14,9,no
9,0.98116,4,6,no
9,0.92124,4,6,no
10,0.871225,6,5,no
10,0.982864,8,6,no
12,0.671285,8,7,no
12,0.655721,14,10,no
10,0.729315,12,6,no
11,0.715224,14,8,no
12,0.835458,12,7,no
9,0.665889,3,7,no
11,0.607137,16,14,no
9,0.609527,10,7,no
8,0.664521,0,7,no
10,0.797334,0,8,no
8,0.858477,4,7,no
10,0.682663,0,6,no
10,0.609895,0,7,no
9,0.817993,5,5,no
8,0.837845,0,5,no
9,0.564498,7,6,no
10,0.556803,7,6,no
12,0.559931,14,14,no
11,0.419306,16,8,no
10,0.641789,15,10,no
10,0.644164,10,6,no
11,0.613881,16,7,no
9,0.713436,5,4,no
8,0.809132,4,4,no
7,0.766328,0,5,no
7,0.75606,6,5,no
8,0.909868,4,5,no
7,0.728575,6,5,no
11,0.597926,12,10,no
7,0.976102,0,6,no
9,0.917049,0,5,no
10,0.877484,0,6,no
9,0.767624,0,6,no
10,0.626082,5,7,no
13,0.66023,10,9,no
12,0.657677,18,10,no
12,0.69077,12,7,no
11,0.901103,12,9,no
9,0.892629,2,6,no
14,0.507403,14,19,no
10,0.961708,6,4,no
9,0.801019,6,6,no
8,0.898479,4,4,no
11,0.745904,10,5,no
10,0.770569,8,3,no
13,0.63074,19,8,no
12,0.501027,14,6,no
10,0.680864,10,5,no
10,0.72029,10,5,no
10,0.708437,11,7,no
12,0.68103,12,13,no
10,0.546491,6,6,no
11,0.518967,14,11,no
10,0.730944,12,5,no
10,0.616761,10,5,no
11,0.745797,8,4,no
11,0.730652,10,5,no
10,0.665946,10,4,no
12,0.735681,10,5,no
11,0.792141,11,7,no
9,0.634632,6,4,no
12,0.577641,16,9,no
8,0.500364,4,2,no
3,0.845483,2,0,no
3,0.846783,2,0,no
3,0.868122,2,0,no
4,0.619417,2,0,no
5,0.579112,2,0,no
3,0.894629,0,0,no
3,0.911919,0,0,no
4,0.665059,2,0,no
4,0.68609,0,0,no
3,0.877669,2,0,no
3,0.892821,2,0,no
3,0.881563,2,0,no
3,0.877669,2,0,no
5,0.518926,2,0,no
4,0.670421,2,0,no
3,0.787845,2,0,no
3,0.889874,0,0,no
3,0.85099,2,0,no
5,0.547663,2,0,no
3,0.883189,2,0,no
3,0.816211,0,0,no
3,0.880079,4,2,no
3,0.851791,2,0,no
4,0.668463,2,0,no
3,0.923711,0,0,no
3,0.862467,2,0,no
3,0.8795,2,0,no
5,0.579542,2,0,no
3,0.928813,0,0,no
3,0.924745,0,0,no
4,0.672452,2,0,no
3,0.898572,0,2,no
3,0.883626,0,0,no
3,0.821177,2,0,no
3,0.829401,2,0,no
3,0.844788,2,0,no
4,0.680164,2,0,no
3,0.905885,0,0,no
4,0.676136,2,0,no
4,0.685859,2,0,no
4,0.619541,2,2,no
4,0.623934,2,0,no
5,0.560757,2,0,no
3,0.850494,2,0,no
4,0.737133,2,0,no
5,0.517279,4,2,no
4,0.583548,2,0,no
4,0.718724,2,0,no
5,0.486158,4,2,no
5,0.565098,4,2,no
5,0.476461,4,0,no
6,0.534076,0,4,no
6,0.502734,4,0,no
4,0.714781,2,0,no
4,0.672922,2,0,no
7,0.428827,4,2,no
5,0.568317,0,0,no
6,0.443941,4,2,no
4,0.577966,0,0,no
4,0.654713,2,0,no
6,0.484524,2,2,no
6,0.487863,0,2,no
6,0.475958,0,2,no
5,0.517171,6,3,no
5,0.520752,3,2,no
4,0.674535,2,0,no
6,0.436478,0,2,no
6,0.583382,3,2,no
5,0.644591,5,0,no
5,0.587135,0,2,no
6,0.547009,0,2,no
4,0.619016,0,0,no
5,0.54412,2,0,no
7,0.437588,4,0,no
6,0.492093,2,0,no
7,0.467691,2,2,no
3,0.917936,0,2,no
8,0.49141,2,0,no
8,0.471456,2,2,no
8,0.491569,0,4,no
9,0.431686,2,6,no
6,0.623627,0,4,no
9,0.490246,3,4,no
7,0.575549,0,4,no
7,0.554623,2,2,no
7,0.578819,2,0,no
7,0.546298,0,4,no
3,0.856147,2,0,no
7,0.506785,0,2,no
6,0.567551,3,0,no
7,0.484891,2,2,no
7,0.538576,2,2,no
5,0.613982,2,2,no
6,0.538251,2,2,no
7,0.655117,2,4,no
6,0.692012,2,2,no
8,0.536191,2,4,no
7,0.569424,3,4,no
4,0.627808,2,0,no
3,1.61648,0,0,no
3,1.65314,0,0,no
3,1.64372,0,0,no
4,1.25177,0,2,no
3,1.66883,0,0,no
3,1.65314,0,0,no
3,1.65156,0,0,no
3,1.58234,0,0,no
4,1.22976,2,0,no
3,1.59027,0,0,no
4,1.25813,0,0,no
3,1.66112,0,0,no
3,1.59104,0,0,no
3,1.57721,0,0,no
3,1.65628,0,0,no
3,1.65409,0,0,no
3,1.60052,0,0,no
3,1.6103,0,0,no
3,1.61102,0,0,no
3,1.60478,0,0,no
3,1.66656,0,0,no
4,1.24867,0,0,no
3,1.65074,0,0,no
3,1.61903,0,0,no
3,1.6047,0,0,no
3,1.60478,0,0,no
3,1.66183,0,0,no
3,1.61504,0,0,no
3,1.60701,0,0,no
3,1.59666,0,0,no
3,1.65788,0,0,no
3,1.60343,0,0,no
3,1.61633,0,0,no
3,1.66267,0,0,no
3,1.58705,0,0,no
3,1.65852,0,0,no
3,1.62511,0,0,no
3,1.62326,0,0,no
3,1.65308,0,0,no
3,1.65869,0,0,no
3,1.61757,0,0,no
3,1.65622,0,0,no
3,1.61773,0,0,no
3,1.61996,0,0,no
3,1.58554,0,0,no
3,1.65638,0,0,no
3,1.62161,0,0,no
3,1.65952,0,0,no
3,1.65638,0,0,no
3,1.61766,0,0,no
3,1.65409,0,0,no
3,1.63544,0,0,no
3,1.65528,0,0,no
3,1.61641,0,0,no
3,1.66181,0,0,no
3,1.58554,0,0,no
3,1.66426,0,0,no
3,1.62732,0,0,no
3,1.66112,0,0,no
3,1.65638,0,0,no
3,1.65457,0,0,no
3,1.62891,0,0,no
3,1.62445,0,0,no
3,1.62741,0,0,no
3,1.65308,0,0,no
3,1.65859,0,0,no
3,1.59348,0,0,no
3,1.61972,0,0,no
3,1.6601,0,0,no
3,1.61972,0,0,no
3,1.66634,0,0,no
3,1.65852,0,0,no
3,1.65538,0,0,no
3,1.62114,0,0,no
3,1.6142,0,0,no
3,1.63444,0,0,no
3,1.62648,0,0,no
3,1.65723,0,0,no
3,1.66112,0,0,no
3,1.66656,0,0,no
3,1.62674,0,0,no
3,1.66102,0,0,no
3,1.65866,0,0,no
3,1.62891,0,0,no
3,1.66735,0,0,no
3,1.65781,0,0,no
3,1.65308,0,0,no
3,1.62088,0,0,no
4,1.2557,0,0,no
3,1.6321,0,0,no
3,1.66417,0,0,no
4,1.26645,2,0,no
3,1.67207,0,0,no
3,1.62318,0,0,no
3,1.65869,0,0,no
3,1.62418,0,0,no
3,1.62891,0,0,no
3,1.66102,0,0,no
3,1.65638,0,0,no
3,1.66598,0,0,no
